Saludos usuario Premium limitado con ID 1, has buscado la palabra 'Grupo' en los archivos:
../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt
../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt
../resources/Libros/prueba.txt


RESULTADOS:

Buscador: 0 Hilo: 2 no pudo encontrar ningun resultado en el archivo../resources/Libros/prueba.txt

Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 123 --> grupo Grupo bastante
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 935 --> po d Grupo de
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1255 --> grupo Grupo de
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1320 --> grupo Grupo de
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1363 --> al Grupo La
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1527 --> grupo Grupo lo
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1529 --> un Grupo y
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1538 --> dos Grupo salieron
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 1547 --> grupo Grupo hubiera
Buscador: 0 Hilo: 0 Archivo: ../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt Linea: 2225 --> grupo Grupo de
