Saludos usuario Premium con ID 63, has buscado la palabra 'poder' en los archivos:
../resources/Libros/prueba.txt
../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt


RESULTADOS:

Buscador: 0 Hilo: 0 no pudo encontrar ningun resultado en el archivo../resources/Libros/prueba.txt

Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 97 --> poder poder contar
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 281 --> poder poder de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 339 --> poder poder de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 391 --> poder poder a
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 449 --> todo poder dejemos
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 511 --> de poder no_word
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 833 --> ≥rguele poder Pocas
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 833 --> poder poder que
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 884 --> famosos poder y
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 984 --> los poder extranjeros
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 1024 --> poder poder de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 1029 --> poder poder de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/17-LEYES-DEL-TRABJO-EN-EQUIPO.txt Linea: 1110 --> poder poder poner
