Saludos usuario Premium limitado con ID 88, has buscado la palabra 'Nube' en los archivos:
./resources/Libros/prueba2.txt
./resources/Libros/La-última-sirena.txt
./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt


RESULTADOS:

Buscador: 1 Hilo: 0 no pudo encontrar ningun resultado en el archivo./resources/Libros/prueba2.txt

Buscador: 1 Hilo: 2 Archivo: ./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 410 --> las Nube  Entr
Buscador: 1 Hilo: 2 Archivo: ./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1180 --> las Nube o
Buscador: 1 Hilo: 2 Archivo: ./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 2890 --> no_word Nube Cuando
Buscador: 1 Hilo: 2 Archivo: ./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 3064 --> no_word Nube si
Buscador: 1 Hilo: 2 Archivo: ./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 4683 --> las Nube cuando

Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 479 --> Las Nube del
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 559 --> las Nube que
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 781 --> las Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 800 --> nube Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 826 --> y Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 1619 --> de Nube hacia
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 2613 --> y Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 2902 --> de Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3007 --> de Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3021 --> por Nube que
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3058 --> las Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3222 --> las Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3469 --> las Nube y
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3603 --> de Nube y
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 3665 --> de Nube el
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 4825 --> de Nube en
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 5117 --> Una Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 5220 --> las Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 5252 --> nube Nube rojiza
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 5323 -->  n Nube se
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 5929 --> de Nube y
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 5966 --> las Nube en
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 6039 --> las Nube Para
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 6415 --> las Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 6623 --> Leila Nube rosadas
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 6897 --> las Nube marfil
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 6918 --> Las Nube soplaban
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 7723 -->  n Nube que
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 7730 --> esas Nube Por
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 7763 --> las Nube Nadie
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 8277 --> una Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 8658 --> las Nube entraba
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 8964 --> las Nube un
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 9061 --> una Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 9435 --> nube Nube o
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 9511 --> las Nube y
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 9822 --> las Nube Se
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 9835 --> y Nube el
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 9858 --> hab� Nube a
