***** Saludos usuario, has buscado la palabra 'Pregunta' en los archivos ../resources/prueba.txt ../resources/VIVE-TU-SUEÑO.txt  *****
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 12 --> no_word 
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 24 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 27 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 30 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 34 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 37 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 41 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 51 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 55 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 58 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 62 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 87 --> he a
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 119 --> las  qu
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 122 --> de que
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 392 --> las te
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 449 --> cada te
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 456 --> las no_word
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 461 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 464 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 465 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 468 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 470 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 473 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 476 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 479 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 502 --> las que
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 505 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 507 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 524 --> LA no_word
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 557 -->  p sobre
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 561 --> las que
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 565 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 571 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 573 --> cualquier sobre
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 578 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 591 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 599 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 607 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 618 --> La del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 627 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 635 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 644 --> La de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 656 --> una entonces
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 658 --> no_word Pasa
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 659 --> esa no_word
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 662 --> no_word relacionadas
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 665 --> 1 é
